Annee;Type_Offre;Code_Produit;Previ_Volume;Nb_Jours;S_debut;UB;Taux_Degradation;Magasin;VMH;Baseline_Magasin;Nb_Codes;Produit_Source;;VMH;;;;;;;;
2019;10;570;8.46;24;49;7;33;1;1273;42.23902731;30;636;;0;0;131384;CARREFOUR AIRE S/LA LYS;;;;;#DIV/0!
2019;10;571;8.46;24;49;7;33;1;1100;42.23902731;30;637;;0;#NOM?;131388;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;572;8.46;24;49;7;33;1;1000;42.23902731;30;639;;0;0;131396;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;573;8.46;24;49;7;33;1;1444;42.23902731;30;640;;0;0;131405;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;591;8.46;24;49;7;33;1;2154;42.23902731;30;646;;0;0;131477;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;592;8.46;24;49;7;33;1;2940;42.23902731;30;638;;0;0;131478;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;593;8.46;24;49;7;33;1;2022;42.23902731;30;642;;0;0;131479;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;595;8.46;24;49;7;33;1;1000;42.23902731;30;649;;0;0;131481;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;596;8.46;24;49;7;33;1;3101;42.23902731;30;641;;0;0;131482;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;597;8.46;24;49;7;33;1;4478;42.23902731;30;635;;0;0;131483;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;619;13.88;24;49;9;0;1;1000;42.23902731;30;618;;0;0;132239;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;731;8.46;24;49;7;33;1;1000;42.23902731;30;648;;0;0;136435;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;732;8.46;24;49;7;33;1;2845;42.23902731;30;634;;0;0;136436;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;733;8.46;24;49;7;33;1;2015;42.23902731;30;643;;0;0;136438;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2922;13.88;24;49;9;0;1;3429;42.23902731;30;2921;;0;0;109726;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2910;13.88;24;49;9;0;1;3670;42.23902731;30;2909;;0;0;127962;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2917;13.88;24;49;9;0;1;5578;42.23902731;30;2916;;0;0;127965;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2918;13.88;24;49;9;0;1;5024;42.23902731;30;2866;;0;0;127974;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2906;13.88;24;49;9;0;1;3927;42.23902731;30;2905;;0;0;127975;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2925;13.88;24;49;9;0;1;10943;42.23902731;30;2924;;0;0;127976;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2912;13.88;24;49;9;0;1;9934;42.23902731;30;2911;;0;0;127977;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2856;3;24;49;9;0;1;1702;42.23902731;30;2864;;1000;#DIV/0!;142871;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2941;12.5;24;49;12;0;1;2168;42.23902731;30;2941;;1000;#DIV/0!;135834;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2934;12.5;24;49;12;0;1;2377;42.23902731;30;2934;;1000;#DIV/0!;135835;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2931;12.5;24;49;12;0;1;2887;42.23902731;30;2931;;1000;#DIV/0!;135836;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2939;12.5;24;49;12;0;1;1571;42.23902731;30;2939;;1000;#DIV/0!;135837;CARREFOUR AIRE S/LA LYS;;;;;
2019;11;2813;13.88;24;49;9;0;1;1000;42.23902731;30;2863;;1000;#DIV/0!;135819;CARREFOUR AIRE S/LA LYS;;;;;
2019;6;2816;26.66;24;49;9;30;1;2652;42.23902731;30;2862;;1000;#DIV/0!;141898;CARREFOUR AIRE S/LA LYS;;;;;
2019;6;2817;26.66;24;49;9;30;1;3332;42.23902731;30;2865;;1000;#DIV/0!;141922;CARREFOUR AIRE S/LA LYS;;;;;
2019;6;2818;26.66;24;49;9;30;1;4293;42.23902731;30;2919;;1000;#DIV/0!;141929;CARREFOUR AIRE S/LA LYS;;;;;
2019;10;570;8.46;24;49;7;33;2;3030;106.1010022;30;636;;0;0;131384;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;571;8.46;24;49;7;33;2;3322;106.1010022;30;637;;0;0;131388;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;572;8.46;24;49;7;33;2;4291;106.1010022;30;639;;0;0;131396;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;573;8.46;24;49;7;33;2;1000;106.1010022;30;640;;0;0;131405;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;591;8.46;24;49;7;33;2;3758;106.1010022;30;646;;0;0;131477;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;592;8.46;24;49;7;33;2;7162;106.1010022;30;638;;0;0;131478;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;593;8.46;24;49;7;33;2;4656;106.1010022;30;642;;0;0;131479;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;595;8.46;24;49;7;33;2;3236;106.1010022;30;649;;0;0;131481;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;596;8.46;24;49;7;33;2;3662;106.1010022;30;641;;0;0;131482;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;597;8.46;24;49;7;33;2;5926;106.1010022;30;635;;0;0;131483;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;619;13.88;24;49;9;0;2;2265;106.1010022;30;618;;0;0;132239;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;731;8.46;24;49;7;33;2;3916;106.1010022;30;648;;0;0;136435;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;732;8.46;24;49;7;33;2;4699;106.1010022;30;634;;0;0;136436;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;733;8.46;24;49;7;33;2;2399;106.1010022;30;643;;0;0;136438;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2922;13.88;24;49;9;0;2;4933;106.1010022;30;2921;;0;0;109726;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2910;13.88;24;49;9;0;2;5274;106.1010022;30;2909;;0;0;127962;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2917;13.88;24;49;9;0;2;5604;106.1010022;30;2916;;0;0;127965;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2918;13.88;24;49;9;0;2;9472;106.1010022;30;2866;;0;0;127974;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2906;13.88;24;49;9;0;2;8573;106.1010022;30;2905;;0;0;127975;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2925;13.88;24;49;9;0;2;25332;106.1010022;30;2924;;0;0;127976;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2912;13.88;24;49;9;0;2;30493;106.1010022;30;2911;;0;0;127977;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2856;3;24;49;9;0;2;4041;106.1010022;30;2864;;1000;#DIV/0!;142871;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2941;12.5;24;49;12;0;2;4453;106.1010022;30;2941;;1000;#DIV/0!;135834;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2934;12.5;24;49;12;0;2;6194;106.1010022;30;2934;;1000;#DIV/0!;135835;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2931;12.5;24;49;12;0;2;1823;106.1010022;30;2931;;1000;#DIV/0!;135836;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2939;12.5;24;49;12;0;2;2699;106.1010022;30;2939;;1000;#DIV/0!;135837;CARREFOUR AIX EN PROVENCE;;;;;
2019;11;2813;13.88;24;49;9;0;2;1000;106.1010022;30;2863;;1000;#DIV/0!;135819;CARREFOUR AIX EN PROVENCE;;;;;
2019;6;2816;26.66;24;49;9;30;2;2775;106.1010022;30;2862;;1000;#DIV/0!;141898;CARREFOUR AIX EN PROVENCE;;;;;
2019;6;2817;26.66;24;49;9;30;2;2640;106.1010022;30;2865;;1000;#DIV/0!;141922;CARREFOUR AIX EN PROVENCE;;;;;
2019;6;2818;26.66;24;49;9;30;2;6161;106.1010022;30;2919;;1000;#DIV/0!;141929;CARREFOUR AIX EN PROVENCE;;;;;
2019;10;570;8.46;24;49;7;33;3;794;30.00753419;30;636;;0;0;131384;CARREFOUR ALENCON CONDE S/S;;;;;
